2024-01-12, V&V, Terminals, Building, Bread&Coffee Suður, Stage 5, Berglind, 3, 01-Dec-23, 01-Mar-24
2024-01-12, MOI, Airfield, Civil, MTE23 - Taxiway Maintenance Echo 1, Stage 4, MOI, 3, 20-Nov-23, 31-Jan-24
2024-01-12, MOI, Airfield, Civil, MTE23 - Taxiway Maintenance Echo 1, Procurement, xx, 3, 01-Feb-24, 27-Mar-24
2024-01-12, MOI, Airfield, Civil, MTE23 - Taxiway Maintenance Echo 1, Stage 5, MOI, 3, 02-Apr-24, 01-Jul-24
2024-01-12, MOI, Airfield, Civil, MTS23 - Taxiway Maintenance Sierra, Stage 3, Ingvar Baldursson, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, MTS23 - Taxiway Maintenance Sierra, Stage 4, Ingvar Baldursson, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, MTS23 - Taxiway Maintenance Sierra, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, MTS23 - Taxiway Maintenance Sierra, Stage 5, Ingvar Baldursson, 3, 02-May-24, 30-Sep-27
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 3, Siggi Kristo, 2, 17-Feb-27, 19-Oct-27
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 4, Siggi Kristo, 2, 20-Oct-27, 18-Jul-28
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Procurement, xx, 2, 19-Jul-28, 17-Jan-29
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 5, Siggi Kristo, 2, 18-Jan-29, 25-Jan-30
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 3, Siggi Kristo, 2, 20-Nov-23, 02-Feb-24
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 4, Siggi Kristo, 2, 05-Feb-24, 10-Apr-24
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Procurement, xx, 2, 11-Apr-24, 11-Jun-24
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 5, Siggi Kristo, 2, 12-Jun-24, 05-Sep-25
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 3, Siggi Kristo, 2, 20-Nov-23, 02-Feb-24
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 4, Siggi Kristo, 2, 05-Feb-24, 10-Apr-24
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Procurement, xx, 2, 11-Apr-24, 11-Jun-24
2024-01-12, FUPP, Airfield, Civil, SAA21 - Taxiway K3 & K4, Stage 5, Siggi Kristo, 2, 12-Jun-24, 07-Sep-28
2024-01-12, MOI, Airfield, Civil, Renewal of signs at Keflavik Airport, Stage 3, MOI, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, Renewal of signs at Keflavik Airport, Stage 4, MOI, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, Renewal of signs at Keflavik Airport, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, Renewal of signs at Keflavik Airport, Stage 5, MOI, 3, 03-Jun-24, 24-Dec-25
2024-01-12, MOI, Airfield, Civil, Apron Maintenance, Stage 3, MOI, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, Apron Maintenance, Stage 4, MOI, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, Apron Maintenance, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, Apron Maintenance, Stage 5, MOI, 3, 13-May-24, 20-Jun-25
2024-01-12, MOI, Airfield, Civil, Backup power for 40 and 70 remote stands, Stage 3, MOI, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, Backup power for 40 and 70 remote stands, Stage 4, MOI, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, Backup power for 40 and 70 remote stands, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, Backup power for 40 and 70 remote stands, Stage 5, MOI, 3, 01-Feb-24, 12-Jun-24
2024-01-12, MOI, Airfield, Civil, Renewal of floodlighting fo BIKF, Stage 3, MOI, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, Renewal of floodlighting fo BIKF, Stage 4, MOI, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, Renewal of floodlighting fo BIKF, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, Renewal of floodlighting fo BIKF, Stage 5, MOI, 3, 02-May-24, 01-Sep-25
2024-01-12, MOI, Airfield, Civil, Preventive Maintenance Asphalt, Stage 3, MOI, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, Preventive Maintenance Asphalt, Stage 4, MOI, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, Preventive Maintenance Asphalt, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, Preventive Maintenance Asphalt, Stage 5, MOI, 3, 12-Jun-24, 21-Jun-27
2024-01-12, MOI, Airfield, Civil, Renewal of the RCMS system in the tower, Stage 3, MOI, 3, 20-Nov-23, 02-Feb-24
2024-01-12, MOI, Airfield, Civil, Renewal of the RCMS system in the tower, Stage 4, MOI, 3, 05-Feb-24, 10-Apr-24
2024-01-12, MOI, Airfield, Civil, Renewal of the RCMS system in the tower, Procurement, xx, 3, 11-Apr-24, 11-Jun-24
2024-01-12, MOI, Airfield, Civil, Renewal of the RCMS system in the tower, Stage 5, MOI, 3, 12-Feb-24, 12-Jun-24
2024-01-12, FUPP, Airfield, Utilities, COM23 - INT COM Site, Stage 3, Siggi Kristo, 2, 17-Feb-27, 19-Oct-27
2024-01-12, FUPP, Airfield, Utilities, COM23 - INT COM Site, Stage 4, Siggi Kristo, 2, 20-Oct-27, 18-Jul-28
2024-01-12, FUPP, Airfield, Utilities, COM23 - INT COM Site, Procurement, xx, 2, 19-Jul-28, 17-Jan-29
2024-01-12, FUPP, Airfield, Utilities, COM23 - INT COM Site, Stage 5, Siggi Kristo, 2, 18-Jan-29, 25-Jan-30
2024-01-12, FUPP, Airfield, Utilities, Foul Water - Storm Water, Stage 3, xx, 3, 03-Feb-25, 21-Oct-25
2024-01-12, FUPP, Airfield, Utilities, Foul Water - Storm Water, Stage 4, xx, 3, 22-Oct-25, 21-Jul-26
2024-01-12, FUPP, Airfield, Utilities, Foul Water - Storm Water, Procurement, xx, 3, 22-Jul-26, 21-Jan-27
2024-01-12, FUPP, Airfield, Utilities, Foul Water - Storm Water, Stage 5, xx, 3, 22-Jan-27, 01-Feb-28
2024-01-12, FUPP, Airfield, Utilities, Watermains, Stage 3, xx, 2, 21-May-24, 21-Jan-25
2024-01-12, FUPP, Airfield, Utilities, Watermains, Stage 4, xx, 2, 22-Jan-25, 21-Oct-25
2024-01-12, FUPP, Airfield, Utilities, Watermains, Procurement, xx, 2, 22-Oct-25, 29-Apr-26
2024-01-12, FUPP, Airfield, Utilities, Watermains, Stage 5, xx, 2, 30-Apr-26, 13-May-27
2024-01-12, FUPP, Landside, Civil, Service Road, Procurement, xx, 3, 17-May-21, 22-Oct-21
2024-01-12, FUPP, Landside, Civil, Service Road, Stage 5, Siggi Kristo, 3, 02-Jun-21, 05-Aug-22
2024-01-12, FUPP, Landside, Civil, NTHV21 - New Service Road, Stage 3, Siggi Kristo, 3, 20-Nov-23, 20-Aug-24
2024-01-12, FUPP, Landside, Civil, NTHV21 - New Service Road, Stage 4, Siggi Kristo, 3, 21-Aug-24, 20-May-25
2024-01-12, FUPP, Landside, Civil, NTHV21 - New Service Road, Procurement, xx, 3, 21-May-25, 10-Nov-25
2024-01-12, FUPP, Landside, Civil, NTHV21 - New Service Road, Stage 5, Siggi Kristo, 3, 11-Nov-25, 23-Dec-25
2024-01-12, FUPP, Landside, Building, FPR23 - Forecourt Parking Relocation, Stage 3, Sigurður Jens, 3, 21-Aug-23, 16-Jan-24
2024-01-12, FUPP, Landside, Building, FPR23 - Forecourt Parking Relocation, Procurement, xx, 3, 08-Jan-24, 26-Mar-24
2024-01-12, FUPP, Landside, Building, FPR23 - Forecourt Parking Relocation, Stage 5, Sigurður Jens, 3, 31-May-23, 04-Feb-27
2024-01-12, FUPP, Landside, Civil, RRR23 - Ringroad and Roundabout, Stage 3, Sigurður Jens, 3, 01-Feb-24, 16-Apr-24
2024-01-12, FUPP, Landside, Civil, RRR23 - Ringroad and Roundabout, Stage 4, Sigurður Jens, 3, 17-Apr-24, 16-Jul-24
2024-01-12, FUPP, Landside, Civil, RRR23 - Ringroad and Roundabout, Procurement, xx, 3, 17-Jul-24, 11-Sep-24
2024-01-12, FUPP, Landside, Civil, RRR23 - Ringroad and Roundabout, Stage 5, Sigurður Jens, 3, 12-Sep-24, 16-May-25
2024-01-12, FUPP, Landside, Building, Onward Travel Hub & Bikepit, Stage 3, Sigurður Jens, 2, 20-Mar-24, 19-Nov-24
2024-01-12, FUPP, Landside, Building, Onward Travel Hub & Bikepit, Stage 4, Sigurður Jens, 2, 20-Nov-24, 19-Aug-25
2024-01-12, FUPP, Landside, Building, Onward Travel Hub & Bikepit, Procurement, xx, 2, 20-Aug-25, 19-Feb-26
2024-01-12, FUPP, Landside, Building, Onward Travel Hub & Bikepit, Stage 5, Sigurður Jens, 2, 20-Feb-26, 02-Dec-26
2024-01-12, FUPP, Landside, Civil, Logistics Compound & Training Centre, Stage 3, xx, 2, 19-Jun-26, 16-Feb-27
2024-01-12, FUPP, Landside, Civil, Logistics Compound & Training Centre, Stage 4, xx, 2, 17-Feb-27, 19-Oct-27
2024-01-12, FUPP, Landside, Civil, Logistics Compound & Training Centre, Procurement, xx, 2, 20-Oct-27, 24-Apr-28
2024-01-12, FUPP, Landside, Civil, Logistics Compound & Training Centre, Stage 5, xx, 2, 25-Apr-28, 27-Oct-28
2024-01-12, FUPP, Landside, Building, Isavia Office space New HQ, Stage 3, xx, 2, 18-Nov-26, 20-Jul-27
2024-01-12, FUPP, Landside, Building, Isavia Office space New HQ, Stage 4, xx, 2, 21-Jul-27, 18-Apr-28
2024-01-12, FUPP, Landside, Building, Isavia Office space New HQ, Procurement, xx, 2, 19-Apr-28, 10-Oct-28
2024-01-12, FUPP, Landside, Building, Isavia Office space New HQ, Stage 5, xx, 2, 11-Oct-28, 30-Apr-29
2024-01-12, FUPP, Landside, Building, Plaza & Hotel, Stage 3, xx, 1, 17-Feb-27, 19-Oct-27
2024-01-12, FUPP, Landside, Building, Plaza & Hotel, Stage 4, xx, 1, 20-Oct-27, 18-Jul-28
2024-01-12, FUPP, Landside, Building, Plaza & Hotel, Procurement, xx, 1, 19-Jul-28, 17-Jan-29
2024-01-12, FUPP, Landside, Building, Plaza & Hotel, Stage 5, xx, 1, 18-Jan-29, 15-Jul-30
2024-01-12, FUPP, Landside, Civil, Re-location of Landside Functions on EW North Apron, Stage 3, xx, 2, 17-Feb-27, 19-Oct-27
2024-01-12, FUPP, Landside, Civil, Re-location of Landside Functions on EW North Apron, Stage 4, xx, 2, 20-Oct-27, 18-Jul-28
2024-01-12, FUPP, Landside, Civil, Re-location of Landside Functions on EW North Apron, Procurement, xx, 2, 19-Jul-28, 17-Jan-29
2024-01-12, FUPP, Landside, Civil, Re-location of Landside Functions on EW North Apron, Stage 5, xx, 2, 23-Sep-32, 14-Mar-33
2024-01-12, FUPP, Landside, Building, Silver Gate, Stage 3, Bjarni Jakob, 2, 17-Feb-27, 19-Oct-27
2024-01-12, FUPP, Landside, Building, Silver Gate, Stage 4, Bjarni Jakob, 2, 20-Oct-27, 18-Jul-28
2024-01-12, FUPP, Landside, Building, Silver Gate, Procurement, xx, 2, 19-Jul-28, 17-Jan-29
2024-01-12, FUPP, Landside, Building, Silver Gate, Stage 5, Bjarni Jakob, 2, 18-Jan-29, 04-Oct-29
2024-01-12, FUPP, Landside, Building, MSCP, Stage 3, xx, 2, 24-May-24, 15-Oct-24
2024-01-12, FUPP, Landside, Building, MSCP, Stage 4, xx, 2, 16-Oct-24, 18-Mar-25
2024-01-12, FUPP, Landside, Building, MSCP, Procurement, xx, 2, 20-Mar-24, 23-May-24
2024-01-12, FUPP, Landside, Building, MSCP, Stage 5, xx, 2, 19-Mar-25, 14-Dec-26
2024-01-12, FUPP, Landside, Building, MSCP, Stage 3, xx, 2, 24-May-24, 15-Oct-24
2024-01-12, FUPP, Landside, Building, MSCP, Stage 4, xx, 2, 16-Oct-24, 18-Mar-25
2024-01-12, FUPP, Landside, Building, MSCP, Stage 5, xx, 2, 19-Sep-31, 26-Oct-32
2024-01-12, FUPP, Landside, Building, MSCP - P3, Stage 3, xx, 1, 24-May-24, 15-Oct-24
2024-01-12, FUPP, Landside, Building, MSCP - P3, Stage 4, xx, 1, 16-Oct-24, 18-Mar-25
2024-01-12, FUPP, Landside, Building, MSCP - P3, Procurement, xx, 1, 20-Mar-24, 23-May-24
2024-01-12, FUPP, Landside, Building, MSCP - P3, Stage 5, xx, 1, 16-Jul-30, 18-Sep-31
2024-01-12, FUPP, Landside, Building, MSCP - P3, Stage 3, xx, 1, 24-May-24, 15-Oct-24
2024-01-12, FUPP, Landside, Building, MSCP - P3, Stage 4, xx, 1, 16-Oct-24, 18-Mar-25
2024-01-12, FUPP, Landside, Building, MSCP - P3, Stage 5, xx, 1, 23-Mar-33, 01-May-34
2024-01-12, FUPP, Landside, Utilities, SVI22 - Substation Voltage Increase, Stage 3, Siggi Kristo, 2, 20-Nov-23, 20-Aug-24
2024-01-12, FUPP, Landside, Utilities, SVI22 - Substation Voltage Increase, Stage 4, Siggi Kristo, 2, 21-Aug-24, 20-May-25
2024-01-12, FUPP, Landside, Utilities, SVI22 - Substation Voltage Increase, Procurement, xx, 2, 21-May-25, 10-Nov-25
2024-01-12, FUPP, Landside, Utilities, SVI22 - Substation Voltage Increase, Stage 5, Siggi Kristo, 2, 11-Nov-25, 24-Nov-26
